condition,short_label,T,L,S,raw_language_median_m,raw_lane1_floor_median_m,raw_ratio_median,raw_above_lane1_floor,bridge_transform_language_median_m,bridge_transform_lane1_floor_median_m,bridge_transform_ratio_median,bridge_transform_above_lane1_floor,n
baseline,Base,0,0,0,0.6899127274487012,0.12475189095256461,5.2366899554788535,20,0.2208446540372649,0.031120449621592723,5.501872626487786,20,20
template-only,T,1,0,0,0.8260004531892737,0.12346567953066769,6.1482810674467085,20,0.22108557303214812,0.028401255973674433,7.308229326393132,20,20
lane-only,L,0,1,0,0.09269938454911718,0.25041922677615336,0.520245172946833,1,0.021476699640291017,0.029998837875874828,0.7193805631701735,6,20
speed-only,S,0,0,1,0.6717307450018077,0.1211892707864094,5.1430981458499545,20,0.22703999791114093,0.03209349625573686,5.14199150653268,20,20
template-lane,T+L,1,1,0,0.0615647691655576,0.20523503841534574,0.47018938607486765,0,0.013557769475188464,0.036968374518430706,0.4544788410512648,2,20
template-speed,T+S,1,0,1,0.8226497974087592,0.12342462422935424,6.054400946681453,20,0.22162317042389745,0.02955861655062333,7.335983648935126,20,20
lane-speed,L+S,0,1,1,0.09010372823535673,0.21843050515498125,0.5039800971961003,1,0.02127630787648701,0.032380950343535726,0.7340684494560316,4,20
all-reserved,T+L+S,1,1,1,0.06265627656991918,0.2195781646595502,0.41775056993024917,1,0.016152302762050864,0.03684802525903115,0.4880710202215991,1,20
