capacity,parser,l2_correct_lo,l2_correct_mean,l2_correct_hi,parser_exact_lo,parser_exact_mean,parser_exact_hi,rescue_gap_lo,rescue_gap_mean,rescue_gap_hi,llm_call_lo,llm_call_mean,llm_call_hi,valid_reset_lo,valid_reset_mean,valid_reset_hi
any,rule,0.9466666666666667,0.9732173333333334,0.9933333333333333,0.5933333333333334,0.6594693333333334,0.7266666666666667,0.2466666666666667,0.313748,0.38,0.0,0.0,0.0,0.9463087248322147,0.9730392161349571,0.9933333333333333
4b,llm,0.9666666666666667,0.9867373333333332,1.0,0.8066666666666666,0.859776,0.9133333333333333,0.07999999999999996,0.12696133333333331,0.17999999999999994,1.0,1.0,1.0,0.9652777777777778,0.9862817895586471,1.0
4b,hybrid,0.98,0.9933493333333334,1.0,0.9,0.9398946666666667,0.9733333333333334,0.020000000000000018,0.053454666666666664,0.09333333333333327,0.36666666666666664,0.4409453333333333,0.5133333333333333,0.9782608695652174,0.9929217132628948,1.0
8b,llm,0.98,0.9933906666666665,1.0,0.8866666666666667,0.9264786666666667,0.9666666666666667,0.033333333333333326,0.06691199999999999,0.10666666666666669,1.0,1.0,1.0,0.9774436090225563,0.9927036879565548,1.0
8b,hybrid,1.0,1.0,1.0,0.9333333333333333,0.9663573333333334,0.9933333333333333,0.00666666666666671,0.03364266666666666,0.06666666666666665,0.36666666666666664,0.4409453333333333,0.5133333333333333,1.0,1.0,1.0
0.6b,hybrid,0.8533333333333334,0.9000253333333335,0.94,0.5933333333333334,0.6593586666666668,0.7266666666666667,0.17999999999999994,0.24066666666666664,0.30666666666666664,0.36666666666666664,0.4409453333333333,0.5133333333333333,0.8561643835616438,0.9039887084774008,0.9459459459459459
