capacity,parser,exact_lo,exact_mean,exact_hi,intent_lo,intent_mean,intent_hi,lane_target_lo,lane_target_mean,lane_target_hi,llm_call_lo,llm_call_mean,llm_call_hi,mean_latency_lo,mean_latency_mean,mean_latency_hi
0.6b,rule,0.5933333333333334,0.6594693333333334,0.7266666666666667,0.6066666666666667,0.6728866666666666,0.74,0.92,0.959772,0.99,0.0,0.0,0.0,0.025899126546088762,0.031577188726061044,0.03971361994141868
0.6b,llm,0.21333333333333335,0.2731773333333333,0.3333333333333333,0.38,0.46048133333333335,0.54,0.33,0.428976,0.53,1.0,1.0,1.0,487.5610238000809,491.8980736004417,496.37402998009446
0.6b,hybrid,0.5933333333333334,0.6593586666666668,0.7266666666666667,0.6666666666666666,0.733168,0.8,0.68,0.759396,0.83,0.36666666666666664,0.4409453333333333,0.5133333333333333,180.4630111533576,216.54738139875144,252.7124279067963
4b,rule,0.5933333333333334,0.6594693333333334,0.7266666666666667,0.6066666666666667,0.6728866666666666,0.74,0.92,0.959772,0.99,0.0,0.0,0.0,0.025069513297542773,0.030667998162699706,0.03865567323373398
4b,llm,0.8066666666666666,0.859776,0.9133333333333333,0.9066666666666666,0.9465773333333333,0.98,0.8,0.85988,0.92,1.0,1.0,1.0,1465.66669722654,1481.9271831335525,1498.739301260066
4b,hybrid,0.9,0.9398946666666667,0.9733333333333334,0.9466666666666667,0.973208,0.9933333333333333,0.91,0.9500299999999999,0.99,0.36666666666666664,0.4409453333333333,0.5133333333333333,536.3677032332756,643.861886861739,752.0664980198975
8b,rule,0.5933333333333334,0.6594693333333334,0.7266666666666667,0.6066666666666667,0.6728866666666666,0.74,0.92,0.959772,0.99,0.0,0.0,0.0,0.025382793185902603,0.03096704073240835,0.03904751987041285
8b,llm,0.8866666666666667,0.9264786666666667,0.9666666666666667,0.8933333333333333,0.9332653333333334,0.9666666666666667,0.97,0.98982,1.0,1.0,1.0,1.0,2316.301528233356,2335.9613137947354,2355.9884952666353
8b,hybrid,0.9333333333333333,0.9663573333333334,0.9933333333333333,0.9466666666666667,0.973144,0.9933333333333333,0.97,0.98982,1.0,0.36666666666666664,0.4409453333333333,0.5133333333333333,838.3624541666601,1006.8502233127888,1177.165944720109
